"zip","city","county","pop"
"17584","Willow Street","Lancaster","10585"
"16441","Waterford","Erie","10562"
"16354","Titusville","Crawford","10539"
"15129","South Park","Allegheny","10495"
"18252","Tamaqua","Schuylkill","10491"
"15037","Elizabeth","Allegheny","10485"
"15963","Windber","Somerset","10476"
"19609","Reading","Berks","10476"
"18840","Sayre","Bradford","10440"
"15211","Pittsburgh","Allegheny","10415"
"15656","Leechburg","Armstrong","10400"
"17702","Williamsport","Lycoming","10384"
"17866","Coal Township","Northumberland","10297"
"17844","Mifflinburg","Union","10296"
"16901","Wellsboro","Tioga","10245"
"15203","Pittsburgh","Allegheny","10151"
"18071","Palmerton","Carbon","10150"
"16214","Clarion","Clarion","10114"
"16866","Philipsburg","Centre","10072"
"19021","Croydon","Bucks","10063"
"18058","Kunkletown","Monroe","10056"
"15084","Tarentum","Allegheny","9995"
"15717","Blairsville","Indiana","9985"
"15208","Pittsburgh","Allegheny","9976"
"19317","Chadds Ford","Delaware","9968"
"15632","Export","Westmoreland","9961"
"19081","Swarthmore","Delaware","9923"
"15137","North Versailles","Allegheny","9884"
"15022","Charleroi","Washington","9821"
"19072","Narberth","Montgomery","9802"
"16415","Fairview","Erie","9596"
"16507","Erie","Erie","9572"
"18929","Jamison","Bucks","9570"
"19004","Bala Cynwyd","Montgomery","9524"
"18222","Drums","Luzerne","9484"
"17363","Stewartstown","York","9476"
"18954","Richboro","Bucks","9453"
"18032","Catasauqua","Lehigh","9399"
"15005","Baden","Beaver","9319"
"18324","Bushkill","Pike","9229"
"19079","Sharon Hill","Delaware","9223"
"15367","Venetia","Washington","9211"
"17872","Shamokin","Northumberland","9202"
"18034","Center Valley","Lehigh","9186"
"17020","Duncannon","Perry","9147"
"17963","Pine Grove","Schuylkill","9043"
"19311","Avondale","Chester","8999"
"15825","Brookville","Jefferson","8920"
"18229","Jim Thorpe","Carbon","8867"
"15931","Ebensburg","Cambria","8834"
"19033","Folsom","Delaware","8826"
"19565","Wernersville","Berks","8801"
"19085","Villanova","Delaware","8778"
"18708","Shavertown","Luzerne","8772"
"17931","Frackville","Schuylkill","8751"
"18848","Towanda","Bradford","8746"
"15690","Vandergrift","Westmoreland","8745"
"19510","Blandon","Berks","8710"
"15658","Ligonier","Westmoreland","8708"
